,seed,feature_set,Years_Education,Age,Diabetes,Hypertension,Sex,BMI,apoe4_carriage,log2_Calp,guild_abundance,k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_cellulosilyticus_abundance,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_sp_CAG_471_abundance,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_hominis_abundance,mr_vol_r_hippocampus,LOAD_CorticalSignature_Thickness,mr_vol_tot_wmhypointensities,combined.centiloid,LUMIPULSE_CSF_tTau,LUMIPULSE_CSF_pTau,Tauopathy
0,1825,clinical_base,0.11779841892301067,0.2300552566091147,0.047017541139088466,0.12176119521215882,0.04998952433145547,0.2711928704807677,0.16218519330440426,,,,,,,,,,,,
1,1825,clinical_guild,0.07591822543856372,0.10555983450217506,0.02171018506365635,0.09664207183991697,0.027722654439121742,0.14438947229464089,0.11980614501361342,0.15340658711608457,0.2548448242922272,,,,,,,,,,
2,1825,clinical_guild_split,0.05397511655479061,0.11236094884028938,0.02002649174593867,0.09010912197827096,0.022883782462235006,0.1347217824636938,0.1120362422180241,0.15426077371166647,,0.09998444696785704,0.09321992878279717,0.10642136427443692,,,,,,,
3,1825,brain_base,0.059163606228666066,0.12676904249161866,0.02932222891806566,0.08201169654928107,0.014401353344919824,0.1223909824307374,0.1371236224187554,,,,,,0.13710768252717837,0.16863909064687904,0.12307069444389845,,,,
4,1825,brain_guild,0.04512568423156632,0.10970974621053622,0.02244962394697095,0.06944553913808678,0.014921915949076702,0.07266918419127934,0.09434118081321487,0.10824416502419892,0.15127058942749233,,,,0.1005586463972924,0.1287651991721996,0.08249852549808574,,,,
5,1825,brain_guild_split,0.04248644410374409,0.07861738439471085,0.02138087654560582,0.062310312715195666,0.010289355049561506,0.05854401679711044,0.09081325612004892,0.09477224028579742,,0.07406634591568556,0.0754698366981396,0.0712793723453139,0.10711579815883988,0.1567006580799738,0.056154102790272546,,,,
6,1825,AD_base,0.017440343651556632,0.02856535640893116,0.004173889645260857,0.02413896208235044,0.0014648118079934186,0.023561082251957022,0.0373731325567022,,,,,,0.030868078932400424,0.04928209590352875,0.020290455416041377,0.4794956783260281,0.05910865486266167,0.149618477842251,0.07461898031233685
7,1825,AD_guild,0.010875424963299827,0.024054083686521417,0.003975416089730998,0.007287026761343436,0.0020059338640108,0.017631760617791217,0.028965510486343837,0.016137860721352645,0.044449868826115145,,,,0.037341448809541405,0.04652775004728881,0.022218205383609305,0.45470460678475355,0.06658879623718145,0.12734488779914419,0.08989141892197201
8,1825,AD_guild_split,0.01029148692081434,0.018759879683038366,0.0026424677483365636,0.014252469125208117,0.003661663196824146,0.01594393598901609,0.03587969248292629,0.02131399983317304,,0.031029486785965944,0.011616675978784676,0.014108608852638293,0.036550804617718397,0.030240543305981853,0.01634236114785932,0.45624297112491985,0.04829642789766842,0.14330366537267983,0.0895228599364464
9,410,clinical_base,0.12336083545801428,0.19169384404546388,0.05508273548773755,0.11104705094326733,0.03871422351437716,0.2993801895716791,0.18072112097946072,,,,,,,,,,,,
10,410,clinical_guild,0.06719230355998947,0.12375997091797855,0.03659249324561367,0.08867997249985521,0.027303014150252082,0.16153397289798135,0.13793007454542058,0.14878588984329022,0.2082223083396189,,,,,,,,,,
11,410,clinical_guild_split,0.06645569975865287,0.10078372906596796,0.03482443489798023,0.07085444856522943,0.016434128070668064,0.1194149612618643,0.14832083952610414,0.131879721638837,,0.11387413923695584,0.08849716192141181,0.10866073605632853,,,,,,,
12,410,brain_base,0.07519140204508906,0.09416028709525241,0.04205434765215751,0.07320109793967547,0.01894867859464623,0.12305867055019344,0.14031440374020673,,,,,,0.1613658997507162,0.15027885456916393,0.12142635806289903,,,,
13,410,brain_guild,0.045164631827952044,0.08615239929937207,0.03161466205466635,0.05484226925603712,0.01310056263398024,0.09663202608722102,0.12076629183501347,0.10266758344312037,0.1378586418083888,,,,0.10089750021344472,0.1232292108675891,0.08707422067321473,,,,
14,410,brain_guild_split,0.049873876187968715,0.08481121534299021,0.019757591220767985,0.05072770042643564,0.011326330915105058,0.08215504600912965,0.10646037335681763,0.09311485507108812,,0.09246923441109253,0.06410097374892432,0.06284332899633827,0.11101333923961425,0.09623247270705008,0.07511366236667763,,,,
15,410,AD_base,0.011530157510295286,0.023523935279087808,0.006169269435662584,0.017647445725370862,0.004974933041801088,0.027265564999023533,0.03327568127761898,,,,,,0.04124235020795263,0.024977121041127686,0.018277568915817163,0.5169914148753747,0.06919264247120728,0.12330445508427944,0.08162746013538101
16,410,AD_guild,0.009101672141153472,0.021509591465787476,0.0025108159680209373,0.004874580567385918,0.002158224779524596,0.02323536815912821,0.02779740933306214,0.010764216230021969,0.02441457924156173,,,,0.02900560095400696,0.028593555578381086,0.019083156340925552,0.5140381911889188,0.058864319519736696,0.13822339347459983,0.08582532505778462
